Time,RAM [MB],CPU Use [%],GPU Use [%]
13:27:0.661,37.6,18.4,28.4
13:27:2.664,37.7,18.9,28.4
13:27:4.675,37.6,13.3,28.4
13:27:6.683,37.6,13.6,28.4
13:27:8.695,37.5,14.0,28.4
13:27:10.702,37.5,13.1,28.3
13:27:12.716,37.5,13.6,28.3
13:27:14.717,37.5,14.6,28.4
13:27:16.723,37.5,16.6,28.4
13:27:18.731,37.5,13.6,28.4
13:27:20.733,37.5,13.2,28.4
13:27:22.741,37.5,13.2,28.4
13:27:24.752,37.5,13.0,30.1
13:27:26.762,37.5,14.7,30.2
13:27:28.773,37.5,15.3,30.2
13:27:30.775,37.5,13.6,30.0
13:27:32.776,37.5,13.5,30.0
13:27:34.787,37.5,12.7,30.0
13:27:36.791,37.7,18.3,31.3
13:27:38.805,37.6,9.1,31.1
13:27:40.807,37.6,8.7,31.1
13:27:42.818,37.5,8.5,31.4
13:27:44.819,37.5,8.9,31.4
13:27:46.834,37.5,8.9,31.4
13:27:48.838,37.5,8.3,31.4
13:27:50.848,37.5,7.8,31.4
13:27:52.854,37.5,7.8,30.8
13:27:54.856,37.5,8.5,31.3
13:27:56.860,37.4,8.7,31.3
13:27:58.877,37.5,9.0,31.3
13:28:0.877,37.7,10.7,31.5
13:28:2.890,37.6,9.2,31.3
13:28:4.904,37.5,8.3,31.3
13:28:6.919,37.5,8.7,31.4
13:28:8.930,37.4,9.2,31.4
13:28:10.946,37.4,8.0,31.4
13:28:12.951,37.4,7.6,31.4
13:28:14.964,37.4,7.9,30.8
13:28:16.967,37.4,8.5,31.3
13:28:18.983,37.5,9.8,31.9
13:28:20.992,37.5,7.9,31.9
13:28:22.992,37.4,10.7,31.8
13:28:25.005,37.4,7.8,30.8
13:28:27.012,37.4,7.8,30.8
13:28:29.022,37.4,8.9,31.3
13:28:31.036,37.3,11.8,31.4
13:28:33.040,37.3,12.4,31.4
13:28:35.037,37.3,12.4,31.4
13:28:37.049,37.2,10.5,31.4
13:28:39.052,37.2,9.1,31.4
13:28:41.061,37.2,8.5,31.4
13:28:43.074,37.2,8.3,30.8
13:28:45.087,37.2,8.7,31.3
13:28:47.103,37.2,8.2,31.3
13:28:49.113,37.2,9.6,31.3
13:28:51.113,37.2,8.4,30.7
13:28:53.142,37.2,8.6,31.4
13:28:55.127,37.2,8.7,31.4
13:28:57.134,37.2,11.4,31.4
13:28:59.197,37.2,9.0,31.4
13:29:1.146,37.5,14.0,31.6
13:29:3.150,37.4,10.1,31.4
13:29:5.236,37.3,8.5,30.8
13:29:7.169,37.3,8.2,30.8
13:29:9.184,37.2,9.5,31.4
13:29:11.275,37.3,8.4,31.4
13:29:13.185,37.3,8.4,31.4
13:29:15.193,37.3,9.0,31.4
13:29:17.301,37.2,8.6,31.4
13:29:19.205,37.2,9.0,31.4
13:29:21.215,37.2,12.1,31.4
